Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Testenine s paradižnikom in burrato,7,146,7,1,10 min,10 min,20 min,Testenine in žita,220.87 kCal
Češnjeva pita z maskarponejevo kremo,13,199,4,2,1 h 15 min,40 min,1 h 55 min,Pomlad,336.84 kCal
Langaš z jogurtom,8,189,4,1,4 h 30 min,30 min,5 h 0 min,Predjedi in prigrizki,255.5 kCal
Bezgov sirup z jagodami,6,153,5,1,30 min,0 min,30 min,Triki in nasveti,140.59 kCal
Piščančji file v smetanovi omaki s špinačo in suhimi paradižniki,12,210,6,1,5 min,18 min,23 min,Meso,164.63 kCal
Jagodna kupola,10,148,6,2,30 min,0 min,30 min,Sladice,172.01 kCal
V pečici pečena vratovina s krompirjem,6,155,4,1,10 min,1 h 38 min,1 h 48 min,Kosilo,120.65 kCal
Borovničeve cheesecake rezine,15,274,8,1,15 min,50 min,1 h 5 min,Pecivo,282.2 kCal
Pomladna skleda s šparglji,17,134,6,1,10 min,10 min,20 min,Zdravo in vegi,189.77 kCal
Hitri pita kruhki,6,98,4,1,20 min,15 min,35 min,Piknik in žar,383.17 kCal
Clafoutis (klafuti) z jagodami,11,143,5,1,10 min,40 min,50 min,Sladice,117.48 kCal
Palačinke brez mleka,6,120,3,1,10 min,0 min,10 min,Sladice,243.63 kCal
Rolada z vanilijevo kremo in jagodami,13,320,9,1,1 h 30 min,15 min,1 h 45 min,Sladice,250.18 kCal
Sofficini,15,182,5,2,15 min,25 min,40 min,Italijanska,304.43 kCal
Bezgova panakota z limoninim sirupom,7,200,6,1,10 min,20 min,30 min,Sladice,328.4 kCal
Skutin narastek (brez moke),11,189,5,1,10 min,45 min,55 min,Brez glutena,130.23 kCal
Testenine z morskimi sadeži,10,117,6,1,5 min,15 min,20 min,Na hitro,152.68 kCal
Krhka torta z malinami,12,201,6,2,40 min,55 min,1 h 35 min,Pomlad,365.35 kCal
Piščančji gyros,24,254,7,1,30 min,15 min,45 min,Piknik in žar,146.46 kCal
"Pecivo s piškoti, pudingom in višnjami",8,219,7,1,30 min,0 min,30 min,Sladice,227.65 kCal
Golaž s kruhovimi cmoki,23,334,10,1,15 min,2 h 40 min,2 h 55 min,Kosilo,133.33 kCal
Testeninska solata,12,163,5,1,15 min,10 min,25 min,Piknik in žar,114.53 kCal
Tunin namaz z jajci,6,75,3,1,15 min,10 min,25 min,Ribe in morski sadeži,184 kCal
Dušena vratovina v omaki s papriko,11,249,8,1,10 min,2 h 0 min,2 h 10 min,Meso,135.95 kCal
Borovničev tiramisu v kozarcu,11,184,5,1,30 min,15 min,45 min,Sladice,367.08 kCal
Aperol Spritz,5,36,2,1,5 min,0 min,5 min,Zabava,0 kCal
Domače lepinje,6,272,7,2,1 h 20 min,10 min,1 h 30 min,Piknik in žar,373.4 kCal
Jagodna panakota,12,257,7,1,30 min,15 min,45 min,Sladice,196.26 kCal
Donavski valovi,15,366,10,1,25 min,40 min,1 h 5 min,Sladice,372.84 kCal
Špargljeva rižota,11,320,9,1,10 min,1 h 10 min,1 h 20 min,Brez mesa,117.31 kCal
Mesna pita s krompirjem,11,284,9,1,15 min,50 min,1 h 5 min,Glavne jedi,186.63 kCal
Rižota s piščancem in zelenjavo,12,155,4,1,10 min,30 min,40 min,Testenine in žita,168.79 kCal
Borovničeve ombre rezine,15,251,6,1,30 min,10 min,40 min,Sladice,331.25 kCal
Kremna piščančja juha s testeninami,16,152,6,1,15 min,35 min,50 min,Juhe in jedi na žlico,155.19 kCal
Tortilje z mletim mesom,16,180,11,1,30 min,30 min,1 h 0 min,Kosilo,155.89 kCal
Svinjska ribica v listnatem testu,10,293,7,2,35 min,50 min,1 h 25 min,Zabava,168.73 kCal
Italijansko testo za pico,5,221,6,2,2 h 30 min,0 min,2 h 30 min,Italijanska,349.65 kCal
Sočni čokoladni browniji brez bele moke,9,177,5,1,10 min,25 min,35 min,Sladice,425.25 kCal
Piščančja juha z zdrobovimi žličniki,15,339,9,1,10 min,1 h 20 min,1 h 30 min,Juhe in jedi na žlico,65.64 kCal
Hitra rižota z morskimi sadeži,13,157,6,1,10 min,25 min,35 min,Večerja,216.82 kCal
Čokoladna rolada,16,456,12,1,1 h 0 min,12 min,1 h 12 min,Sladice,335.67 kCal
Pečena prosena kaša z jabolki in skuto,13,223,6,1,15 min,1 h 0 min,1 h 15 min,Sladice,92.12 kCal
Testenine z lososovo omako iz pečice,8,175,6,1,5 min,30 min,35 min,Na hitro,248.83 kCal
Jogurtove rezine s kosmiči in sadjem,13,138,6,1,15 min,45 min,1 h 0 min,Sladice,209.3 kCal
Kardinalove rezine,17,194,8,1,15 min,35 min,50 min,Pecivo,281.73 kCal
Špargljeva kremna juha,10,176,5,1,10 min,20 min,30 min,Zdravo in vegi,72.83 kCal
Jogurtova torta z borovnicami (brez peke),10,262,8,1,3 h 19 min,0 min,3 h 19 min,Torta,231.12 kCal
Zapečen krompir s šunko in sirom v bešamel omaki,7,133,5,1,20 min,1 h 20 min,1 h 40 min,Kosilo,108.54 kCal
Zrezki v zelenjavni omaki,11,174,6,1,5 min,35 min,40 min,Kaj skuhati,147.26 kCal
Bučni njoki s hitro sirovo omako,13,224,8,1,30 min,10 min,40 min,Kosilo,145.11 kCal
Listnati zavitek z mletim mesom,12,194,7,1,10 min,35 min,45 min,Kaj skuhati,239.28 kCal
Špargljevo-bučkina juha s proseno kašo,8,128,6,1,5 min,35 min,40 min,Juhe in jedi na žlico,50.09 kCal
Bananini mafini,12,180,7,1,15 min,20 min,35 min,Sladice,260.33 kCal
Zapečene krpice s šunko in sirom,9,184,6,1,10 min,50 min,1 h 0 min,Testenine in žita,273.47 kCal
Masleni piškoti z regratom,5,127,6,1,50 min,20 min,1 h 10 min,Pomlad,487.69 kCal
Pečen krompir s šparglji in slanino,8,165,5,1,10 min,40 min,50 min,Pomlad,67.28 kCal
Pomladna fokača,7,109,6,2,1 h 40 min,15 min,1 h 55 min,Zabava,316.85 kCal
Regratov sirup,4,147,4,1,15 min,25 min,40 min,Zdravo in vegi,150.05 kCal
Vanilijeva panakota z jagodnim prelivom,10,194,7,1,30 min,15 min,45 min,Sladice,103.36 kCal
Orehovo pecivo s kislo smetano,11,115,6,1,20 min,25 min,45 min,Pecivo,312.44 kCal
Hitra koruzna zlevanka s koprivami,11,150,6,1,10 min,35 min,45 min,Kaj skuhati,283.08 kCal
Gorenjska prata,7,155,4,2,15 min,30 min,45 min,Slovenska,207.36 kCal
Velikonočna čokoladna krema,6,101,5,1,20 min,0 min,20 min,Velika noč,287.94 kCal
Slane velikonočne pletenice,9,230,6,2,1 h 40 min,30 min,2 h 10 min,Velika noč,438.31 kCal
Hren z jajci in bučnim oljem,6,71,3,1,10 min,10 min,20 min,Velika noč,131.9 kCal
Polnjena velikonočna jajca (obarvana v pesinem soku),10,172,4,1,1 h 15 min,20 min,1 h 35 min,Priložnostno,72.87 kCal
Korenčkova rolada z maskarpone kremo,18,324,11,1,40 min,20 min,1 h 0 min,Velika noč,231.75 kCal
Kvašeni velikonočni zajčki,10,221,10,1,1 h 30 min,15 min,1 h 45 min,Velika noč,290.87 kCal
Pisana mehiška rižota,15,170,6,1,10 min,20 min,30 min,Testenine in žita,217.47 kCal
Pehtranova pletenica,16,228,7,2,1 h 0 min,50 min,1 h 50 min,Sladice,216.83 kCal
Čemaževi njoki s skuto in mandlji,9,193,7,2,30 min,40 min,1 h 10 min,Brez mesa,211.65 kCal
