Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Mariborska župa,40,168,5,2,20 min,40 min,1 h 0 min,MasterChef,43.51 kCal
Riž z rakci,13,107,5,1,15 min,20 min,35 min,MasterChef,114.44 kCal
Ajdovi rezanci po kraško,11,94,4,1,10 min,15 min,25 min,Moja mama kuha bolje!,298.06 kCal
Pečenice s kislim zeljem in polento,9,184,5,1,5 min,30 min,35 min,Moja mama kuha bolje!,221.33 kCal
Paleo kruh z oreščki in suhim sadjem,8,167,5,1,15 min,40 min,55 min,Zdravo in vegi,372.39 kCal
Jagnječje kroglice v tahinijevi omaki,20,165,5,1,15 min,35 min,50 min,Kuhinje,273.43 kCal
Sirove palačinke,14,80,4,1,10 min,12 min,22 min,Moja mama kuha bolje!,166.92 kCal
Sadna prosena kaša z jabolčno čežano,9,146,4,1,10 min,20 min,30 min,Moja mama kuha bolje!,170.75 kCal
Svinjska ribica s feto in slanino,8,113,4,1,15 min,15 min,30 min,Moja mama kuha bolje!,126.5 kCal
Losos z zelenjavo in pinjolami,8,107,4,1,5 min,15 min,20 min,Moja mama kuha bolje!,217.62 kCal
Rižota z morskimi sadeži,9,81,3,1,5 min,20 min,25 min,Moja mama kuha bolje!,222.75 kCal
Curryjeva čorbica,10,75,3,1,10 min,20 min,30 min,Moja mama kuha bolje!,264.71 kCal
Čufti v paradižnikovi omaki s pirejem,12,155,6,1,10 min,25 min,35 min,Moja mama kuha bolje!,159.86 kCal
Ocvrte piščančje palčke s hladno česnovo omako,15,116,4,1,15 min,15 min,30 min,Moja mama kuha bolje!,165.28 kCal
Mesni spomladanski zavitki,14,254,5,2,40 min,30 min,1 h 10 min,Azijska,240.17 kCal
Testenine s preprostim govejim ragujem,16,210,4,1,15 min,2 h 30 min,2 h 45 min,Italijanska,227.65 kCal
Borovničevo-kokosovi mafini,9,153,5,1,10 min,20 min,30 min,Zabava,358.78 kCal
Cappuccino cheesecake,12,311,8,2,40 min,55 min,1 h 35 min,Valentinovo,325.65 kCal
Ocvrta jabolka,9,100,4,1,10 min,20 min,30 min,Moja mama kuha bolje!,89.38 kCal
Testenine z zelenjavo,9,90,4,1,5 min,15 min,20 min,Moja mama kuha bolje!,207.41 kCal
Ajdova kaša z jurčki in kranjsko klobaso,9,60,2,1,5 min,25 min,30 min,Moja mama kuha bolje!,287.87 kCal
Račje prsi s karameliziranimi jabolki,8,79,4,1,5 min,15 min,20 min,Moja mama kuha bolje!,134.23 kCal
Gubana,22,286,6,3,2 h 30 min,1 h 0 min,3 h 30 min,Velika noč,438.73 kCal
Klapavice na buzaro,7,133,4,1,5 min,15 min,20 min,Balkanska,134.33 kCal
Pečeni orehovi štrukeljčki,14,248,7,2,1 h 40 min,20 min,2 h 0 min,Slovenska,434.7 kCal
Čokoladna pita s karamelno kremo,17,236,5,2,1 h 30 min,45 min,2 h 15 min,Zabava,449.56 kCal
Pesina solata z dimljeno postrvjo,9,89,3,1,15 min,3 min,18 min,Moja mama kuha bolje!,356.34 kCal
Jetrca s slanino in krompirjem,8,70,3,1,10 min,20 min,30 min,Moja mama kuha bolje!,104.46 kCal
Rižota z bučo in čičeriko,8,82,3,1,10 min,25 min,35 min,Moja mama kuha bolje!,122.44 kCal
"Vratovina s česnom, sirom in smetano",8,102,4,1,10 min,25 min,35 min,Moja mama kuha bolje!,125.75 kCal
Špinača s pohanimi šnitami in jajcem na oko,11,111,5,1,10 min,25 min,35 min,Moja mama kuha bolje!,149.9 kCal
Krompirjevi žganci s čebulo in ocvirki,10,175,6,1,5 min,25 min,30 min,Moja mama kuha bolje!,86.4 kCal
Polnjene bučke,6,93,4,1,10 min,30 min,40 min,Moja mama kuha bolje!,120.38 kCal
Široki rezanci s tunino omako,6,85,3,1,5 min,15 min,20 min,Moja mama kuha bolje!,141.94 kCal
Rižota po primorsko,13,119,4,1,5 min,30 min,35 min,Moja mama kuha bolje!,160.73 kCal
Piščančji kari z rižem,18,105,4,1,10 min,25 min,35 min,Moja mama kuha bolje!,156.69 kCal
Njoki z mletim mesom in brokolijem,12,87,3,1,10 min,25 min,35 min,Moja mama kuha bolje!,114.09 kCal
Mesne kroglice s polento,11,96,5,1,10 min,25 min,35 min,Moja mama kuha bolje!,155.04 kCal
Palačinke brez jajc,8,151,3,1,30 min,15 min,45 min,Zdravo in vegi,332.88 kCal
Čokoladno-orehove lunice,15,202,5,2,1 h 0 min,30 min,1 h 30 min,Sladice,464.15 kCal
Cvetača s prepraženimi drobtinami,4,64,3,1,10 min,15 min,25 min,Slovenska,150.73 kCal
Miške s skuto,11,172,5,1,15 min,30 min,45 min,Pust,210.29 kCal
Sirove palčke s sezamom,12,130,4,1,20 min,15 min,35 min,Zabava,270.29 kCal
Piščančja obara z zeliščnimi cmočki,21,241,7,2,15 min,45 min,1 h 0 min,Zima,174.32 kCal
Zeljna solata z račjimi prsmi,5,178,5,1,15 min,20 min,35 min,Slovenska,181.87 kCal
Nutella cheesecake,11,199,4,1,4 h 30 min,0 min,4 h 30 min,Zabava,425.29 kCal
Špinačni špecli s smetano in šunko,11,189,4,2,20 min,15 min,35 min,Slovenska,205.23 kCal
Pečen avokado z jajcem in sirom,4,65,2,1,10 min,15 min,25 min,Zdravo in vegi,153.73 kCal
Jajčni mafini,6,127,3,1,10 min,15 min,25 min,Na hitro,220.66 kCal
Svinjski trakovi v smetanovi omaki z gobicami,7,159,4,1,10 min,25 min,35 min,Meso,101.87 kCal
Kruhov narastek z jabolki in orehi,11,160,4,1,30 min,45 min,1 h 15 min,Slovenska,194.39 kCal
Pečen sladki krompir s sirom in slanino,6,178,4,1,5 min,1 h 0 min,1 h 5 min,Zima,426.05 kCal
Limetina pita,8,185,5,1,3 h 30 min,25 min,3 h 55 min,Zabava,392.62 kCal
Klobase v omaki s fižolom,13,170,4,1,15 min,1 h 0 min,1 h 15 min,Slovenska,187.38 kCal
Piščančja bedra v gorčični omaki z gobicami,11,149,4,1,10 min,25 min,35 min,Na hitro,156.04 kCal
Rulada črni gozdiček,8,233,7,1,30 min,20 min,50 min,Slovenska,225.44 kCal
Crème brûlée s pomarančo,9,211,6,2,4 h 15 min,40 min,4 h 55 min,Zabava,347.47 kCal
Datljeve energijske kroglice,12,106,4,1,20 min,0 min,20 min,Zdravo in vegi,418.06 kCal
Juha z lečo in sladkim krompirjem,11,151,4,1,10 min,25 min,35 min,Zdravo in vegi,287.04 kCal
Presne čokoladne tablice,11,181,5,1,45 min,0 min,45 min,Zdravo in vegi,599.89 kCal
Kvašeni polži z borovnicami in belo čokolado,13,233,6,2,1 h 30 min,40 min,2 h 10 min,Sladice,368.32 kCal
V pečici pečene piščančje prsi s sirovo omako,9,134,3,1,10 min,40 min,50 min,Glavne jedi,255.67 kCal
Čokoladno-kokosova torta,14,221,7,2,20 min,50 min,1 h 10 min,Slovenska,440.7 kCal
Telečja jetra v smetanovi omaki,7,125,4,1,10 min,20 min,30 min,Slovenska,163.47 kCal
Brazilska korenčkova torta s čokolado,9,174,5,1,15 min,45 min,1 h 0 min,Kuhinje,196.72 kCal
Fritata s porom in slanino,8,167,5,1,12 min,20 min,32 min,Na hitro,137.09 kCal
"Galeta s porom, bučo in feto",11,272,5,2,20 min,1 h 15 min,1 h 35 min,Jesen,175.93 kCal
Ocvrti lignji s poprom in soljo,5,139,4,1,15 min,15 min,30 min,Zabava,127.73 kCal
Limonina rižota z meto,14,214,5,2,10 min,25 min,35 min,Italijanska,338.05 kCal
Čokoladne tortice s tahinijem,9,186,5,1,20 min,14 min,34 min,Kuhinje,416.3 kCal
Rezanci s šampinjoni in gremolato,9,182,6,1,10 min,20 min,30 min,Italijanska,179.49 kCal
Presni cheesecake z jagodičevjem,16,249,5,1,30 min,0 min,30 min,Zdravo in vegi,155.62 kCal
Presni čokoladni mousse,8,87,2,1,1 h 10 min,0 min,1 h 10 min,Zdravo in vegi,213.29 kCal
Svinjski kotleti z zelišči,11,126,4,1,10 min,20 min,30 min,Italijanska,176.06 kCal
Angleška krema,4,127,4,2,10 min,10 min,20 min,Na hitro,341.64 kCal
Rostbif po angleško,6,155,4,1,3 h 20 min,40 min,4 h 0 min,Božič in novo leto,283.3 kCal
Školjčna juha s smetano,13,169,4,1,25 min,20 min,45 min,Valentinovo,109.18 kCal
V kosu pečena cvetača z mandljevo omako,11,241,6,2,20 min,1 h 30 min,1 h 50 min,Zdravo in vegi,165.81 kCal
Grška jogurtova omaka z zelišči,7,67,3,1,15 min,0 min,15 min,Piknik in žar,353.97 kCal
Pečen ananas s sladoledom in rumovim sirupom,11,180,4,1,15 min,20 min,35 min,Zabava,84.44 kCal
Pomarančne rezine,17,301,7,2,45 min,30 min,1 h 15 min,Zabava,194.84 kCal
Cheesecake s pomarančami,9,150,5,1,4 h 5 min,0 min,4 h 5 min,Zabava,393.53 kCal
Browniji Katharine Hepburn,9,147,5,1,15 min,35 min,50 min,Kuhinje,391.4 kCal
Pečen brstični ohrovt s česnom,5,121,3,1,7 min,25 min,32 min,Zima,95.42 kCal
Cvetačni narastek s paradižnikom in kozjim sirom,9,245,4,2,15 min,1 h 0 min,1 h 15 min,Vegetarijanstvo,91.89 kCal
Rebrasti krompirček s kislo smetano in slanino,6,130,3,1,15 min,45 min,1 h 0 min,Zelenjava,84.68 kCal
Dušena jabolka z odišavljeno smetano,7,121,3,1,10 min,15 min,25 min,Na hitro,79.61 kCal
Veganski ohrovtov čips,7,147,4,1,20 min,20 min,40 min,Zdravo in vegi,136.98 kCal
Čokoladni razpokančki brez jajc,9,160,3,1,3 h 30 min,10 min,3 h 40 min,Slovenska,464.15 kCal
Finska lososova juha,9,147,4,1,10 min,25 min,35 min,Zdravo in vegi,120.93 kCal
Pavlova z bananami in karamelno omako,9,283,6,2,30 min,1 h 10 min,1 h 40 min,Banana na 1001 način,307.65 kCal
Esterhazy torta,16,510,9,3,2 h 0 min,1 h 10 min,3 h 10 min,Slovenska,385.23 kCal
Fritata z grahom in lososom,10,156,4,1,15 min,20 min,35 min,Zabava,215.81 kCal
Kokosovi makroni s čokolado,7,174,4,1,30 min,20 min,50 min,Božič in novo leto,400.72 kCal
Rženi kruhek s semeni,11,198,4,2,3 h 40 min,45 min,4 h 25 min,Zdravo in vegi,399.36 kCal
Špinačna rulada s kremnim nadevom,8,282,7,2,30 min,10 min,40 min,Zabava,177.22 kCal
Svinjska mrežna pečenka s sadno prilogo,14,177,4,2,30 min,2 h 0 min,2 h 30 min,Polona ga žge,268.83 kCal
Božična zloženka,14,176,3,1,40 min,15 min,55 min,Polona ga žge,231.65 kCal
Kremni lososov namaz s koprom,5,70,2,1,12 min,0 min,12 min,Slovenska,367.14 kCal
Lešnikove božične pitice,17,347,4,2,1 h 10 min,20 min,1 h 30 min,Božič in novo leto,388.91 kCal
Pečen camembert z medom in rožmarinom,6,85,3,1,7 min,20 min,27 min,Zabava,318.49 kCal
Cheesecake z bananami,8,196,4,1,40 min,0 min,40 min,Banana na 1001 način,241.85 kCal
Skutni kolač s čokolado,11,168,5,1,15 min,40 min,55 min,Polona ga žge,235.25 kCal
Narastek s panettonom in rozinami,10,200,5,1,15 min,40 min,55 min,Božič in novo leto,298.36 kCal
Najboljši pečen krompirček,4,270,6,1,15 min,1 h 0 min,1 h 15 min,Zelenjava,70.67 kCal
Pečeni parklji,14,234,5,2,1 h 25 min,15 min,1 h 40 min,Polona ga žge,336.68 kCal
Pogača z ocvirki,8,220,4,2,1 h 20 min,25 min,1 h 45 min,Slovenska,348.23 kCal
Pečenka Wellington a la Gordon Ramsay,11,349,5,3,45 min,45 min,1 h 30 min,Zabava,107.67 kCal
Svinjska jetra v omaki iz rdečega vina,10,114,2,1,12 min,25 min,37 min,Polona ga žge,110.37 kCal
Piščančja mesna štruca z zelenjavo,11,173,4,1,15 min,50 min,1 h 5 min,Okusi sveta,161.56 kCal
Browniji s piškoti,12,178,5,1,15 min,30 min,45 min,Polona ga žge,424.81 kCal
Ocvrte piščančje krače,6,143,4,1,10 min,10 min,20 min,Okusi sveta,189.63 kCal
Na glavo obrnjeno pecivo z ganache prelivom,14,179,5,1,20 min,50 min,1 h 10 min,"Zdravo, Tereza!",190.23 kCal
Orehovi piškoti s chia marmelado,15,128,3,1,1 h 20 min,12 min,1 h 32 min,"Zdravo, Tereza!",293.78 kCal
Školjke na buzaro,8,99,2,1,30 min,12 min,42 min,Polona ga žge,119.77 kCal
Polnjen sladki krompir,8,95,3,1,10 min,45 min,55 min,Zdravo in vegi,265.56 kCal
Riba v foliji,8,152,3,1,15 min,15 min,30 min,Zdravo in vegi,143.14 kCal
Piščančje mesne kroglice v kremni omaki,14,217,5,2,12 min,20 min,32 min,Okusi sveta,169.59 kCal
Mafini z jabolkom in skuto,10,84,3,1,12 min,25 min,37 min,Mesec prazničnih skutnih dobrot,194.67 kCal
Skutne blazinice,10,88,3,1,15 min,7 min,22 min,Mesec prazničnih skutnih dobrot,186.34 kCal
Smetanova pena z belo čokolado na biskvitu,15,111,3,2,20 min,30 min,50 min,Mesec prazničnih skutnih dobrot,299.56 kCal
Orehovo-čokoladna torta,13,287,4,2,40 min,35 min,1 h 15 min,Slovenska,344.68 kCal
Ingverjevi kolački z brusnicami,18,245,6,1,12 min,1 h 5 min,1 h 17 min,Kotanyi,293.34 kCal
"Solatni krožnik s špinačo, jabolkom in piščančjimi jetrci",7,138,3,1,15 min,10 min,25 min,Meso,129.88 kCal
Pečena prekajena krača,9,142,4,1,10 min,1 h 40 min,1 h 50 min,Slovenska,155.57 kCal
Piškoti s koščki čokolade,9,142,5,1,20 min,14 min,34 min,Kuhinje,454.76 kCal
Pečen piščanec z jabolki,8,191,5,1,15 min,1 h 20 min,1 h 35 min,Okusi sveta,169.66 kCal
Solatni kozarček,11,104,4,1,20 min,0 min,20 min,"Zdravo, Tereza!",176.08 kCal
Dva detox smoothija,17,91,3,1,15 min,0 min,15 min,"Zdravo, Tereza!",69.86 kCal
Tarte Tatin s hruškami,6,295,6,2,30 min,45 min,1 h 15 min,Jesen,141.88 kCal
Bučna juha s čilijem,8,163,4,1,10 min,35 min,45 min,Jesen,60.17 kCal
Pražen riž z zelenjavo in rakci,9,109,3,1,5 min,18 min,23 min,Testenine in žita,147.06 kCal
Ovseni piškoti z banano in arašidovim maslom,4,82,3,1,15 min,20 min,35 min,Banana na 1001 način,186.87 kCal
Solata vinegret,9,170,4,1,20 min,40 min,1 h 0 min,Zdravo in vegi,46.75 kCal
Dušeno sladko zelje s slanino,12,131,3,1,12 min,45 min,57 min,Jesen,106.85 kCal
Skutina krema z amarettom in agrumi,8,104,3,1,40 min,0 min,40 min,Mesec prazničnih skutnih dobrot,141.94 kCal
Chilli con Papp,17,177,4,1,20 min,1 h 50 min,2 h 10 min,Polona ga žge,69.51 kCal
Piščanec po kijevsko,10,183,5,2,40 min,15 min,55 min,Okusi sveta,294.78 kCal
Skutni zavitek z rozinami,12,241,5,2,45 min,50 min,1 h 35 min,Mesec prazničnih skutnih dobrot,214.37 kCal
Čokoladno-skutna torta brez peke in jajc,7,121,4,1,20 min,0 min,20 min,Mesec prazničnih skutnih dobrot,344.44 kCal
Skutna božična štruca,19,237,7,1,20 min,1 h 0 min,1 h 20 min,Mesec prazničnih skutnih dobrot,367.01 kCal
Bučni humus,10,84,3,1,15 min,20 min,35 min,"Zdravo, Tereza!",137.19 kCal
Fižolovi čokoladni browniji,13,150,4,1,15 min,30 min,45 min,"Zdravo, Tereza!",261.78 kCal
Tiramisu s skuto v kozarcu,11,175,4,1,1 h 15 min,0 min,1 h 15 min,Mesec prazničnih skutnih dobrot,197.54 kCal
Domači grisini s poprom in sezamom ter pesin pesto,14,234,4,2,1 h 30 min,1 h 0 min,2 h 30 min,Polona ga žge,251.85 kCal
Skutna tortica v kozarcu,11,145,4,1,25 min,0 min,25 min,Mesec prazničnih skutnih dobrot,261.41 kCal
Skutna potica,17,425,8,3,2 h 0 min,1 h 0 min,3 h 0 min,Mesec prazničnih skutnih dobrot,261.91 kCal
Gospod čarovnik,6,57,3,1,5 min,0 min,5 min,Noč čarovnic,309.89 kCal
Čarovniška metla,5,50,3,1,5 min,0 min,5 min,Noč čarovnic,0 kCal
Losos s hrustljavo zeliščno skorjico,8,134,3,1,20 min,15 min,35 min,Ribe in morski sadeži,232.75 kCal
Bučni njoki s tapenado,13,162,5,1,12 min,1 h 10 min,1 h 22 min,"Zdravo, Tereza!",100.98 kCal
Presni bučkini rezanci s pestom,10,99,3,1,20 min,0 min,20 min,"Zdravo, Tereza!",52.09 kCal
Čizkejk v kozarcu,9,117,4,1,20 min,5 min,25 min,Polona ga žge,353.37 kCal
Zrezek Diana,12,204,5,2,10 min,10 min,20 min,Kuhinje,217.84 kCal
"Zapečen krompir s tuno, porom in slanino",10,200,5,1,20 min,1 h 10 min,1 h 30 min,Kosilo,121.59 kCal
Piščančji takitosi,10,203,5,1,40 min,20 min,1 h 0 min,Mehiška,210.39 kCal
Presna čokolada,6,53,3,1,1 h 15 min,0 min,1 h 15 min,"Zdravo, Tereza!",364.63 kCal
Presne karamelne kocke,19,153,4,1,30 min,0 min,30 min,"Zdravo, Tereza!",377.97 kCal
Čokoladni tart,10,239,5,2,30 min,50 min,1 h 20 min,Polona ga žge,491.66 kCal
Bučne kocke z belo kremo,17,275,6,1,20 min,30 min,50 min,Noč čarovnic,290.02 kCal
Pečen piščanec s paradižnikom,11,191,4,1,10 min,45 min,55 min,Italijanska,147.16 kCal
Lečna juha z zelenjavo,13,182,4,1,15 min,50 min,1 h 5 min,Zdravo in vegi,126.55 kCal
Piščanec tikka masala,9,162,4,1,10 min,35 min,45 min,Okusi sveta,139.1 kCal
Kvrguša,7,191,5,1,12 min,30 min,42 min,Okusi sveta,259.74 kCal
Cvetačna pica z zelenjavo in feto,18,136,5,1,12 min,30 min,42 min,"Zdravo, Tereza!",88.4 kCal
Vegetarijanski tacosi,16,96,3,1,25 min,0 min,25 min,"Zdravo, Tereza!",170.91 kCal
Rojstnodnevna nutellina torta,10,303,7,2,20 min,1 h 30 min,1 h 50 min,Polona ga žge,281.92 kCal
Čokoladni jupiji z vanilijevo kremo,13,234,5,2,40 min,14 min,54 min,Kuhinje,478.71 kCal
Pečena svinjska potrebušina po toskansko,9,224,6,1,12 min,2 h 30 min,2 h 42 min,Italijanska,281.15 kCal
Jagnječja enolončnica,13,239,4,1,20 min,2 h 0 min,2 h 20 min,Jesen,173.37 kCal
Hruškov kolač z lešniki,10,226,4,1,20 min,1 h 10 min,1 h 30 min,Jesen,238.23 kCal
Pirin kruh s sodo,6,100,2,1,10 min,35 min,45 min,"Zdravo, Tereza!",332.55 kCal
Zdrav bananin kruh z orehi,7,58,2,1,10 min,40 min,50 min,"Zdravo, Tereza!",318.19 kCal
"Pečene krompirjeve polovičke s slanino, sirom in kislo smetano",6,174,4,1,20 min,45 min,1 h 5 min,Zelenjava,131.8 kCal
V pivskem testu ocvrte hrenovke,5,136,3,2,15 min,10 min,25 min,Zabava,276.84 kCal
Japonske piščančje kroglice,18,210,4,1,15 min,55 min,1 h 10 min,Okusi sveta,161.89 kCal
"Rižota z rdečim vinom, porom in pršutom",9,143,5,1,12 min,30 min,42 min,Polona ga žge,256.05 kCal
Tunin namaz s čebulo,6,70,3,1,15 min,0 min,15 min,Zabava,127.65 kCal
Tortilja sendvič s tuno in koruzo,9,143,5,1,15 min,16 min,31 min,Zabava,168.95 kCal
Smoothie iz gozdnih sadežev in avokada,5,56,2,1,10 min,0 min,10 min,Zdravo in vegi,99.44 kCal
Nočne čokoladne rezine,10,195,5,1,15 min,10 min,25 min,Zabava,560.93 kCal
Brezglutenska čokoladna torta z brandyjem,13,238,6,2,12 min,1 h 0 min,1 h 12 min,Slovenska,412.75 kCal
Piščančje prsi v paradižnikovi omaki z mocarelo,11,232,5,1,7 min,40 min,47 min,Okusi sveta,113.9 kCal
"Zelene palačinke z rikoto, lososom in kalčki",14,58,3,1,15 min,12 min,27 min,"Zdravo, Tereza!",237.14 kCal
Cvetačni kuskus v radičevih čolničkih,20,141,4,1,20 min,0 min,20 min,"Zdravo, Tereza!",76.96 kCal
Malinina granita,4,103,4,1,20 min,30 min,50 min,Polona ga žge,164.47 kCal
Korenčkov kolač z jogurtovo kremo,17,228,6,1,15 min,45 min,1 h 0 min,Zdravo in vegi,166.63 kCal
Vanilijev chia puding,9,75,2,1,1 h 10 min,0 min,1 h 10 min,"Zdravo, Tereza!",53 kCal
Čokoladna granola,11,106,4,1,10 min,25 min,35 min,"Zdravo, Tereza!",376.53 kCal
Kavni kolač z orehi in sladkornim sirupom,15,278,7,1,20 min,1 h 0 min,1 h 20 min,Sladice,390.6 kCal
Zelen piščančji curry z brokolijem,10,199,5,1,15 min,25 min,40 min,Azijska,270.79 kCal
Zapečeni peresniki s tuno in koruzo,9,204,4,1,10 min,35 min,45 min,Testenine in žita,257.41 kCal
Italijanski grozdni kolač,12,231,6,1,25 min,50 min,1 h 15 min,Italijanska,284.59 kCal
Tajski piščančji ražnjiči,12,172,4,1,20 min,15 min,35 min,Zabava,221.75 kCal
Jabolčna pita z robidnicami,9,298,6,2,25 min,1 h 5 min,1 h 30 min,Jesen,152.58 kCal
"Pita kruhki z mariniranim piščancem, zelenjavo in feto",15,368,6,2,1 h 40 min,15 min,1 h 55 min,Meso,248.36 kCal
Francoska piščančja obara,12,218,5,2,15 min,1 h 30 min,1 h 45 min,Okusi sveta,169.26 kCal
Pokrita jabolčna pita s kardamomom,10,227,5,2,20 min,1 h 20 min,1 h 40 min,Jesen,99.54 kCal
Presna čokoladna torta s pistacijo,10,225,5,1,30 min,0 min,30 min,Veganstvo,371.06 kCal
Solata coleslaw z jabolkom,9,90,3,1,20 min,0 min,20 min,Kuhinje,63.33 kCal
Svinjski file s pečeno zelenjavo,10,195,5,1,15 min,50 min,1 h 5 min,Jesen,89.18 kCal
Jabolčni čatni z rozinami,8,111,3,1,30 min,40 min,1 h 10 min,Jesen,89.53 kCal
Limonin kolač,10,267,6,1,15 min,1 h 0 min,1 h 15 min,Zima,383.1 kCal
Paella s piščancem in rakci,12,248,4,1,15 min,30 min,45 min,Okusi sveta,191.18 kCal
Sadna nabodala s čokoladno omako,5,81,2,1,15 min,5 min,20 min,Zabava,32.82 kCal
Zapečen krompir s slanino in peteršiljem,8,186,5,1,15 min,1 h 10 min,1 h 25 min,Zelenjava,141.87 kCal
Pečene krompirjeve rezine s čilijevo smetano,7,149,5,1,10 min,45 min,55 min,Zabava,98.03 kCal
Pomarančni kolač s polento,11,249,7,1,15 min,50 min,1 h 5 min,Sladice,327.08 kCal
Tajski curry s kozicami,9,137,4,1,5 min,15 min,20 min,Azijska,77.65 kCal
Rižota z gobami,12,246,6,2,30 min,30 min,1 h 0 min,Italijanska,242.75 kCal
Svinjina z žajbljem in jabolčno solato,8,192,4,1,1 h 10 min,13 min,1 h 23 min,Jesen,194.1 kCal
Riba v foliji po tajsko,9,138,4,1,15 min,15 min,30 min,Zdravo in vegi,119.49 kCal
Trska v paradižnikovi omaki s timijanom,7,141,4,1,5 min,15 min,20 min,Zdravo in vegi,69.38 kCal
Brooklynska čokoladna torta,18,353,9,2,3 h 0 min,37 min,3 h 37 min,Zabava,367.62 kCal
Čokoladna pita z lešniki,14,417,7,2,1 h 55 min,55 min,2 h 50 min,Božič in novo leto,504.39 kCal
Kava s čokolado in smetano,5,56,2,1,5 min,5 min,10 min,Priložnostno,536.95 kCal
Margarita s kokosom in limončelom,9,70,3,1,15 min,0 min,15 min,Poletje,386.28 kCal
V pečici pečeni panirani ribji fileji z jogurtovo omako,12,191,5,1,10 min,20 min,30 min,Ribe in morski sadeži,146.21 kCal
Browniji s kokosom,9,200,5,1,10 min,50 min,1 h 0 min,Zabava,400 kCal
Kremasta pesina rižota,16,301,6,2,20 min,1 h 35 min,1 h 55 min,Zdravo in vegi,174.2 kCal
Energijske kroglice s kokosom,7,75,2,1,40 min,0 min,40 min,Zdravo in vegi,486.69 kCal
Slivovi cmoki iz krompirjevega testa,10,250,7,2,40 min,45 min,1 h 25 min,Poletje,151.62 kCal
Roladice s piščancem in sirom,9,151,4,1,20 min,20 min,40 min,Zabava,250.97 kCal
Peresniki s klobaso in paradižnikom,9,228,5,1,10 min,20 min,30 min,Italijanska,228.9 kCal
Marmelada iz jagodičevja,3,184,4,2,30 min,15 min,45 min,Poletje,186 kCal
Začinjen slivov drobljenec,13,157,4,1,20 min,1 h 30 min,1 h 50 min,Jesen,186.13 kCal
Borovničev koktajl z rumom in ingverjevim sirupom,12,124,2,1,20 min,10 min,30 min,Poletje,103.43 kCal
V toastu pečeno jajce,5,102,2,1,8 min,15 min,23 min,Na hitro,211.86 kCal
Kanapejčki s pečenimi hrenovkami s sirom in slanino,5,119,3,1,20 min,20 min,40 min,Zabava,253.21 kCal
Pečene klobase s fižolom,7,151,4,1,5 min,27 min,32 min,Jesen,227.53 kCal
Slivova pita z vanilijevim pudingom iz pekača,13,236,5,2,50 min,45 min,1 h 35 min,Poletje,261.2 kCal
Bananin kruh z borovnicami,10,176,4,1,25 min,1 h 0 min,1 h 25 min,Sladice,233.4 kCal
"Mafini z malinami, lešniki in belo čokolado",9,195,5,1,20 min,20 min,40 min,Zabava,386.5 kCal
Čokoladno-orehova torta brez moke,14,298,7,2,20 min,40 min,1 h 0 min,Zabava,398.03 kCal
"Piadina s kuhanim pršutom, mocarelo in zelenjavo",6,94,2,1,15 min,0 min,15 min,Italijanska,193.62 kCal
Jajčni narastek s hrenovkami,10,166,4,1,10 min,50 min,1 h 0 min,Zajtrk,205.55 kCal
Churrosi s karamelno omako,11,226,5,2,30 min,25 min,55 min,Jesen,381.62 kCal
Marelično-kokosove energijske kroglice,3,63,2,1,30 min,0 min,30 min,Zdravo in vegi,366.54 kCal
Čokoladno-kokosova rolada brez peke,9,148,4,1,30 min,0 min,30 min,Zabava,482.82 kCal
Jogurt z orehi in čokoladno omako,5,95,3,1,12 min,3 min,15 min,Zdravo in vegi,109.97 kCal
Mandljev kolač z brandyjem,6,174,3,1,15 min,50 min,1 h 5 min,Brez glutena,440.89 kCal
Njoki z omako puttanesca,13,206,6,1,10 min,15 min,25 min,Italijanska,110.49 kCal
Rezanci v smetanovi omaki s šampinjoni in šunko,8,146,4,1,15 min,12 min,27 min,Italijanska,175.95 kCal
Bučkine rezine s sirom in slanino,10,138,3,1,15 min,30 min,45 min,Piknik in žar,192.19 kCal
"Krostata z jabolki, hruškami in mandlji",16,260,4,2,50 min,40 min,1 h 30 min,Slovenska,446.8 kCal
Fižolov namaz s tuno,9,69,3,1,15 min,0 min,15 min,Zabava,160.54 kCal
Piškoti s čokolado in maskarponejevo kremo,8,144,4,1,30 min,0 min,30 min,Zabava,379.38 kCal
Pesin tzatziki,7,103,3,1,25 min,0 min,25 min,Vegetarijanstvo,87.2 kCal
Ocvrte banane s kokosovim sladoledom,10,157,3,1,15 min,12 min,27 min,Banana na 1001 način,170.94 kCal
Dušena govedina po mehiško s polento,20,347,6,2,15 min,2 h 0 min,2 h 15 min,Mehiška,149.96 kCal
Pečeni krompirčki s smetano in drobnjakom,5,124,3,1,15 min,1 h 0 min,1 h 15 min,Poletje,100.18 kCal
Clafutis z robidnicami,11,132,3,1,10 min,35 min,45 min,Poletje,184.98 kCal
Svinjina s hruškami in gorgonzolo,7,137,3,1,5 min,25 min,30 min,Jesen,131.81 kCal
Zvitki iz jajčevcev z mocarelo in paradižnikovo omako,13,257,4,2,25 min,1 h 0 min,1 h 25 min,Italijanska,165.52 kCal
Lečine polpete,12,157,4,1,45 min,15 min,1 h 0 min,Zdravo in vegi,122.04 kCal
